arm,kind,display_name,representation_and_head,training_data,evaluation_regime,oof_status,marker_regime,caveat,affinity_pearson,raw_effective_rank,interaction_effective_rank,selectivity_p_at_5,selectivity_p_at_5_ci_low,selectivity_p_at_5_ci_high,selectivity_auprc
boltz_s3,foundation,Boltz-2 deployed affinity head,co-folded complex; deployed affinity score,foundation-model training; no DAVIS fitting in this analysis,external zero-shot DAVIS,not applicable (no DAVIS fitting),external,foundation-model training corpus may contain related structures or affinities,0.4826,3.259,15.485,0.46764705882352936,0.40294117647058825,0.5323529411764705,0.4236119829243698
s1_readout,readout,Boltz-2 frozen representation + ridge,frozen pre-pairformer representation; RidgeCV,DAVIS training folds,six-fold unseen-target GroupKFold,out-of-fold by target,davis_oof,shares Boltz-2 representation with boltz_s3,0.5535,3.439,9.297,0.4264705882352941,0.3588235294117647,0.5,0.4228973393686665
chembert_davisoof,ml-model,"ChemBERTa + AAC, DAVIS OOF",ChemBERTa drug embedding + amino-acid composition; MLP,DAVIS training folds,six-fold unseen-target GroupKFold,out-of-fold by target,davis_oof,paired with chembert_kiba2davis,0.6091,3.09,9.261,0.4264705882352941,0.3705882352941176,0.49411764705882355,0.3785542753271354
chembert_kiba2davis,ml-model,"ChemBERTa + AAC, KIBA to DAVIS",ChemBERTa drug embedding + amino-acid composition; MLP,KIBA,zero-shot transfer to DAVIS,no DAVIS fitting,kiba_transfer,paired with chembert_davisoof,0.1542,2.172,10.558,0.16470588235294117,0.11470588235294117,0.2205882352941176,0.2078233654999473
conplex_kiba2davis,ml-model,ConPLex,protein language model + contrastive DTI score,pretrained on BindingDB,zero-shot DAVIS inference,no DAVIS fitting,external,possible training-data overlap with DAVIS proteins,0.3784,2.379,1.955,0.3088235294117647,0.24117647058823527,0.3852941176470588,0.3114860334880185
esm_target_davisoof,ml-model,"Morgan + ESM-2, DAVIS OOF",Morgan drug features + ESM-2 target embedding; MLP,DAVIS training folds,six-fold unseen-target GroupKFold,out-of-fold by target,davis_oof,paired with esm_target_kiba2davis,0.7444,4.635,9.013,0.5941176470588235,0.526470588235294,0.6588970588235294,0.544564263356531
esm_target_kiba2davis,ml-model,"Morgan + ESM-2, KIBA to DAVIS",Morgan drug features + ESM-2 target embedding; MLP,KIBA,zero-shot transfer to DAVIS,no DAVIS fitting,kiba_transfer,paired with esm_target_davisoof,0.3134,2.401,7.852,0.21764705882352942,0.16463235294117645,0.2794117647058823,0.23997463145234482
histgbm_davisoof,docking-surrogate,Morgan + AAC gradient boosting,Morgan + physicochemical drug features and amino-acid composition; HistGBM,DAVIS training folds,six-fold unseen-target GroupKFold,out-of-fold by target,davis_oof,feature family overlaps several comparator arms,0.617,1.82,7.047,0.4617647058823529,0.39117647058823535,0.5294852941176471,0.4124485215673088
mlp_davisoof,ml-model,"Morgan + AAC MLP, DAVIS OOF",Morgan + physicochemical drug features and amino-acid composition; MLP,DAVIS training folds,six-fold unseen-target GroupKFold,out-of-fold by target,davis_oof,paired with mlp_kiba2davis,0.6181,3.382,9.615,0.45882352941176474,0.3941176470588235,0.5323529411764705,0.3926417922490333
mlp_kiba2davis,ml-model,"Morgan + AAC MLP, KIBA to DAVIS",Morgan + physicochemical drug features and amino-acid composition; MLP,KIBA,zero-shot transfer to DAVIS,no DAVIS fitting,kiba_transfer,paired with mlp_davisoof,0.1524,3.001,11.991,0.1411764705882353,0.10588235294117647,0.1764705882352941,0.2029498066027122
rf_davisoof,ml-model,"Morgan + AAC random forest, DAVIS OOF",Morgan + physicochemical drug features and amino-acid composition; random forest,DAVIS training folds,six-fold unseen-target GroupKFold,out-of-fold by target,davis_oof,paired with rf_kiba2davis,0.6378,1.618,7.173,0.5499999999999999,0.4764705882352941,0.6235294117647059,0.4600496149004405
rf_kiba2davis,ml-model,"Morgan + AAC random forest, KIBA to DAVIS",Morgan + physicochemical drug features and amino-acid composition; random forest,KIBA,zero-shot transfer to DAVIS,no DAVIS fitting,kiba_transfer,paired with rf_davisoof,0.2175,1.108,9.351,0.14411764705882354,0.10294117647058823,0.19124999999999992,0.18936695932406358
