source_id,source_version_or_snapshot,role_in_v5,required_artifact,release_includes_consumed_bytes_status,no_login_obtainability_status,consumed_digest_recorded_status,policy_compatible_license_status,redistribution_permission_status,checksum_gate_status,analysis_producer_present_status,released_audit_object_status,clean_source_replay_demonstrated_status,evidence_locator,remaining_evidence_needed,verified_on
Docking-44 (Nikitin 2025),frozen project export,"44-receptor score matrix and spectral results",data/frozen/df_final_v4.csv.gz,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,UNKNOWN,"data_manifest.csv; results/public_core_source_manifest.csv","Clean release-archive replay log",2026-08-12
DOCKSTRING v1,v1,"58-target score matrix; fixed-pose block; calibration recovery",data/frozen/dockstring-dataset.tsv.gz,VERIFIED,VERIFIED,VERIFIED,UNKNOWN,VERIFIED,VERIFIED,VERIFIED,VERIFIED,UNKNOWN,"data_manifest.csv; results/nonvina_scorer_transport/summary.json","Editor confirmation that Apache-2.0 is acceptable for the data artifact; clean release-archive replay log",2026-08-12
DAVIS-Complete V3 (Wu 2025; Davis 2011),V3,kinase panel in the frozen 20-kinase analysis endpoint,data/frozen/davis_complete.tab.gz,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,UNKNOWN,"data_manifest.csv; results/fixed20_centering_panel_sensitivity/summary.json","Clean release-archive replay log",2026-08-12
PKIS2 S4 (Drewry 2017),official S4 workbook,kinase panel in the frozen 20-kinase analysis endpoint,data/frozen/pkis2_s4.xlsx,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,UNKNOWN,"data_manifest.csv; results/fixed20_centering_panel_sensitivity/summary.json","Clean release-archive replay log",2026-08-12
PDSP Ki database,2026-08-03 export,primary exploratory external map comparison on quantified Ki values,PDSP Ki CSV export,UNKNOWN,VERIFIED,VERIFIED,UNKNOWN,UNKNOWN,VERIFIED,VERIFIED,VERIFIED,UNKNOWN,"analysis/fetch_pdsp_ki_database.py; results/pdsp_counterscreen_retrieval/summary.json","CC-compatible data licence or written permission/editor ruling; clean source replay from the fetched export",2026-08-12
Novartis Secondary Pharmacology Database (Sutherland 2023),Zenodo record 8103950,supporting external agreement and censoring sensitivity,final_summarized_activity_data_pub.txt,UNKNOWN,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,UNKNOWN,"analysis/fetch_spd_source.py; results/spd_external_validation/summary.json","Clean source replay from the fetched SPD and UniProt snapshots",2026-08-12
PKIS1 (Elkins 2016),publisher MOESM5 archive,"third kinase panel; exploratory five-mode discovery panel",41587_2016_BFnbt3374_MOESM5_ESM.zip,UNKNOWN,VERIFIED,VERIFIED,UNKNOWN,UNKNOWN,VERIFIED,VERIFIED,VERIFIED,UNKNOWN,"analysis/fetch_pkis1_supplement.py; DATA_LICENSES.md","CC-compatible data licence or written permission/editor ruling; clean source replay",2026-08-12
KiRHub (Saifudeen 2026),publisher MOESM4 workbook,fourth kinase panel and reported non-replication,41587_2026_3090_MOESM4_ESM.xlsx,UNKNOWN,VERIFIED,VERIFIED,UNKNOWN,UNKNOWN,VERIFIED,VERIFIED,VERIFIED,UNKNOWN,"analysis/fetch_kirhub_supplement.py; results/kirhub_external_validation/summary.json","Reaction Biology redistribution/licence clarification or editor ruling; clean source replay",2026-08-12
KLIFS kinase information (Kanev 2021),API snapshot used 2026-08-03,85-residue ATP-pocket identity baseline on the 190-pair endpoint,kinase_information API response,UNKNOWN,VERIFIED,VERIFIED,UNKNOWN,UNKNOWN,VERIFIED,VERIFIED,VERIFIED,UNKNOWN,"analysis/klifs_pocket_control.py; results/klifs_pocket_control/summary.json","Exact CC-compatible database licence or editor ruling; clean source replay",2026-08-12
UniProt (PDSP target mapping),2026-08-03 API snapshot,receptor sequence identity baseline on the PDSP graph,UniProt TSV response,UNKNOWN,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,UNKNOWN,"analysis/fetch_pdsp_uniprot.py; results/pdsp_counterscreen_retrieval/summary.json","Clean source replay from the checksum-matched snapshot",2026-08-12
UniProt (SPD target mapping),2026-08-03 API snapshot,receptor sequence identity baseline on the safety panel,UniProt TSV response,UNKNOWN,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,UNKNOWN,"analysis/fetch_spd_uniprot.py; results/spd_external_validation/summary.json","Clean source replay from the checksum-matched snapshot",2026-08-12
RCSB PDB structure metadata,43-accession derived snapshot,source-organism sensitivity for the Docking-44 structures,RCSB GraphQL response,UNKNOWN,VERIFIED,UNKNOWN,VERIFIED,VERIFIED,UNKNOWN,UNKNOWN,VERIFIED,UNKNOWN,"results/docking_structure_species/README.md; results/docking_structure_species/structure_species.csv","Executable versioned GraphQL producer and normalized source-response snapshot with digest; clean source replay",2026-08-12
